Save,Save
"Save and Continue Edit","Save and Continue Edit"
Delete,Delete
"Edit Bank Account '%1'","Edit Bank Account '%1'"
"New Bank Account","New Bank Account"
"Bank Account Information","Bank Account Information"
"General Information","General Information"
Status,Status
Bank,Bank
"Account Number","Account Number"
"Account Name","Account Name"
Sort,Sort
"Items are sorted in ascending order","Items are sorted in ascending order"
Approve,Approve
"Approve Bank Transfer Payment","Approve Bank Transfer Payment"
"Bank Transfer Approval Form","Bank Transfer Approval Form"
"Order Information","Order Information"
"Order Number","Order Number"
Note,Note
"The item has been deleted.","The item has been deleted."
"We can't find a item to delete.","We can't find a item to delete."
"Bank Account","Bank Account"
"Manage Bank Account","Manage Bank Account"
"This item no longer exists.","This item no longer exists."
"Edit Bank Account","Edit Bank Account"
"You saved this item.","You saved this item."
"Something went wrong while saving the item.","Something went wrong while saving the item."
"Bank Transfer","Bank Transfer"
"Approve Bank Transfer","Approve Bank Transfer"
"This item had been canceled.","This item had been canceled."
"This item had been approved.","This item had been approved."
"The item has been canceled.","The item has been canceled."
"We can't find a item to canceled.","We can't find a item to canceled."
"Manage Bank Transfer","Manage Bank Transfer"
"The payment is not found.","The payment is not found."
"The payment had already been processed.","The payment had already been processed."
"The order is not found.","The order is not found."
"The order had already been processed.","The order had already been processed."
"Bank payment ID: %s is approved","Bank payment ID: %s is approved"
"Bank payment ID: %s has been approved.","Bank payment ID: %s has been approved."
"Method is now allowed","Method is now allowed"
"Please correct the transfer amount","Please correct the transfer amount"
"Please choose the bank account","Please choose the bank account"
"Please enter transfer date","Please enter transfer date"
"Please enter transfer time","Please enter transfer time"
"Please enter the amount of transfer","Please enter the amount of transfer"
"Please correct the bank account","Please correct the bank account"
"Please correct the transfer date","Please correct the transfer date"
"Please choose an order you want to pay","Please choose an order you want to pay"
"Please correct the order you want to pay","Please correct the order you want to pay"
"Please choose only your own orders to confirm the payment","Please choose only your own orders to confirm the payment"
"Please enter the order number","Please enter the order number"
"Transfer slip is too large (limit up to %sMB)","Transfer slip is too large (limit up to %sMB)"
"Please attach the transfer slip","Please attach the transfer slip"
"Bank name: %s","Bank name: %s"
"Account number: %s","Account number: %s"
"Account name: %s","Account name: %s"
"Order number: %s","Order number: %s"
"Transfer date/time: %s","Transfer date/time: %s"
"Amount: %s","Amount: %s"
"Slip: <a href=""%s"" target=""_blank"">Download</a>","Slip: <a href=""%s"" target=""_blank"">Download</a>"
"Customer name: %s","Customer name: %s"
"Phone: %s","Phone: %s"
"Comment: %s","Comment: %s"
"We have received your payment details. Thank you.","We have received your payment details. Thank you."
Enabled,Enabled
Disabled,Disabled
"Bangkok Bank","Bangkok Bank"
"Government Housing Bank","Government Housing Bank"
"Government Savings Bank","Government Savings Bank"
"Islamic Bank of Thailand","Islamic Bank of Thailand"
Kasikornbank,Kasikornbank
"Bank of Ayudhya","Bank of Ayudhya"
"Krung Thai Bank","Krung Thai Bank"
"Siam Commercial Bank","Siam Commercial Bank"
"Thanachart Bank","Thanachart Bank"
"TMB Bank","TMB Bank"
"UOB Bank","UOB Bank"
Pending,Pending
Completed,Completed
Canceled,Canceled
Edit,Edit
"Delete record","Delete record"
"Are you sure you wan't to delete this record?","Are you sure you wan't to delete this record?"
Cancel,Cancel
"Are you sure you wan't to cancel this record?","Are you sure you wan't to cancel this record?"
"Bank Payment Information","Bank Payment Information"
"Bank Details","Bank Details"
N/A,N/A
"Account name","Account name"
"Account number","Account number"
"Contact Details","Contact Details"
Name,Name
Phone,Phone
Customer:,Customer:
"%s [ID: %s]","%s [ID: %s]"
Guest,Guest
Comment,Comment
"Order Details","Order Details"
"Order number","Order number"
"Payment method","Payment method"
"Order total","Order total"
"This order number is not found","This order number is not found"
"Transaction Details","Transaction Details"
"Transfer date/time","Transfer date/time"
Amount,Amount
Amount(Baht),Amount(Baht)
"Transfer slip","Transfer slip"
"View full size","View full size"
"* Required Fields","* Required Fields"
"Transfer Details","Transfer Details"
"Bank account","Bank account"
"Account No.","Account No."
"Transfer date","Transfer date"
"Transfer time","Transfer time"
Baht,Baht
"Allowed file types: PDF, JPG, GIF, PNG","Allowed file types: PDF, JPG, GIF, PNG"
"Maximum file size: %sMB","Maximum file size: %sMB"
Orders,Orders
"Pending orders","Pending orders"
"Order date","Order date"
"Contact Information","Contact Information"
Submit,Submit
"Place Order","Place Order"
"Please choose the order to be paid","Please choose the order to be paid"
"The payment details could not be saved.","The payment details could not be saved."
General,General
"Admin email","Admin email"
"- Email for receiving inform payment notification<br>- Leave blank to disable","- Email for receiving inform payment notification<br>- Leave blank to disable"
"New Order Status","New Order Status"
"New order status after the payment is approved","New order status after the payment is approved"
"Is slip required?","Is slip required?"
"Choose whether the transfer slip is required","Choose whether the transfer slip is required"
"Max size for slip","Max size for slip"
"File size in bytes (default 2097152 or 2MB)","File size in bytes (default 2097152 or 2MB)"
"Add New","Add New"
Select...,Select...
Published,Published
20,20
30,30
50,50
100,100
200,200
ID,ID
Created,Created
Modified,Modified
"Customer name","Customer name"
"Customer phone","Customer phone"
"Transfer Date/Time","Transfer Date/Time"
